Food Product,all ingridients
Cinnamon Rolls,"['Dough', 'Butter', 'Cinnamon, icing']"
Chicken Caesar Salad,"['Chicken', 'Caesar dressing', 'Romaine lettuce, croutons']"
Vegetable Lasagna,"['Vegetables', 'Olive oil', 'Tomato sauce, cheese']"
Garlic Bread,"['Bread', 'Butter', 'Garlic']"
Chicken Alfredo Pizza,"['Pizza dough', 'Chicken, Alfredo sauce']"
Caesar Pasta Salad,"['Pasta', 'Caesar dressing', 'Romaine lettuce, Parmesan cheese']"
Baked Apple,"['Apples', 'Butter', 'Cinnamon, oats']"
Apple Pie,"['Apples', 'Butter', 'Cinnamon, pastry']"
Chicken Parmesan,"['Chicken', 'Olive oil', 'Tomato sauce, cheese']"
Pumpkin Pie,"['Pumpkin', 'Butter', 'Pumpkin spice, pastry']"
Blueberry Muffins,"['Flour', 'Butter', 'Blueberries']"
Sausage and Pepper Pizza,"['Pizza dough', 'Sausage, bell peppers']"
Beef Wellington,"['Beef', 'Butter', 'Mushrooms, puff pastry']"
Jalebi,"['Flour', 'Ghee', 'Saffron syrup']"
Butter Naan,"['Flour', 'Butter', nan]"
Tiramisu,"['Ladyfingers', 'Mascarpone cheese, coffee liqueur', 'Cocoa powder']"
Chocolate Cake,"['Flour', 'Butter', 'Cocoa powder']"
Chocolate Chip Pancakes,"['Flour', 'Butter', 'Chocolate chips']"
Lemon Bars,"['Lemon juice', 'Butter', 'Flour, eggs']"
Lemon Bars,"['Lemon juice', 'Butter', 'Flour, eggs']"
Pecan Pie,"['Pecans', 'Butter', 'Corn syrup']"
Zucchini Bread,"['Zucchini', 'Butter', 'Cinnamon, nuts']"
Banana Bread,"['Bananas', 'Butter', 'Cinnamon, nuts']"
Hawaiian Pizza,"['Pizza dough', 'Pineapple, ham']"
